"Story","Title","Result","Date","Stability","Duration (s)"
"Data driven pet test","Data driven test for multiple pet to the pet","SUCCESS","2023-01-10T22:05:46.014Z[Europe/London]","0.0","450.41"
"Data driven user test","data driven test for multiple user create","SUCCESS","2023-01-10T22:05:46.044Z[Europe/London]","0.0","451.38"
"Tag with pet runner","Provide a 200 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T22:06:00.387Z[Europe/London]","0.0","0.54"
"Tag with pet runner","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T22:06:00.932Z[Europe/London]","0.0","0.48"
"Tag with pet runner","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T22:06:01.413Z[Europe/London]","0.0","0.48"
"Tag with user runner","Provide 200 code when post data","SUCCESS","2023-01-10T22:06:01.926Z[Europe/London]","0.0","0.52"
"Tag with user runner","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T22:06:02.445Z[Europe/London]","0.0","0.49"
"Tag with user runner","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T22:06:02.930Z[Europe/London]","0.0","0.48"
"Pet creation data","CRUD Test","SUCCESS","2023-01-10T22:05:29.084Z[Europe/London]","0.0","24.28"
"Testing different request of pets on the petstore application","check all pets added into petstores and verify status code","SUCCESS","2023-01-10T22:05:54.626Z[Europe/London]","0.0","0.54"
"Testing different request of pets on the petstore application","get  single pet data using by id","SUCCESS","2023-01-10T22:05:55.254Z[Europe/London]","0.0","0.5"
"Testing different request of pets on the petstore application","update pet with name","SUCCESS","2023-01-10T22:05:55.819Z[Europe/London]","0.0","0.54"
"Testing different request of pets on the petstore application","Delete pet with using id and vberify","SUCCESS","2023-01-10T22:05:56.410Z[Europe/London]","0.0","0.52"
"User Data Creating in Petstore application","CRUD Test","ERROR","2023-01-10T22:05:57.007Z[Europe/London]","0.0","0.27"
"Testing different request of user on the petstore application","check user added into petstores and verify status code","SUCCESS","2023-01-10T22:05:57.439Z[Europe/London]","0.0","0.57"
"Testing different request of user on the petstore application","get  single pet data using by id","SUCCESS","2023-01-10T22:05:58.093Z[Europe/London]","0.0","0.53"
"Testing different request of user on the petstore application","update pet with name","SUCCESS","2023-01-10T22:05:58.701Z[Europe/London]","0.0","1.01"
"Testing different request of user on the petstore application","Delete pet with using id and vberify","SUCCESS","2023-01-10T22:05:59.788Z[Europe/London]","0.0","0.5"
